assignment,mid term assessment,final assessment,learning adaptability,assign out,midterm outcomes,final outcomes
5.753890128,7.667267882,6.386370163,1.665647442,0,0,2
2.122905647,0.632393772,5.06040574,9.600709502,1,2,2
6.501457458,3.696004078,1.197581378,2.251727228,0,2,2
7.751697506,7.410497665,6.585846952,0.771779074,1,1,1
7.945076707,5.395051242,3.565008401,6.798977481,0,1,0
6.35393002,1.031054174,3.96968792,1.974303277,2,2,1
0.617461435,0.700097124,1.872142349,8.201622799,2,1,0
2.611018157,5.040272805,6.553148861,7.397477421,2,1,0
7.688998007,3.570375489,7.440383529,3.40932112,0,2,2
,,,,,,
,,,,,,
,,,,,,
