assignment,mid term assessment,final assessment,learning adaptability,assign out,midterm outcomes,final outcomes
6.191351238,8.079308566,6.514646207,0.739102503,2,0,1
9.555221791,5.655733422,7.346566912,6.673253166,1,0,1
2.852521367,2.673342633,2.339102075,6.904194972,0,1,1
0.037513678,8.960780536,6.916086023,6.589219164,0,2,0
6.404398113,8.664956901,4.631637473,3.229124481,1,0,0
6.705915927,0.542909988,0.827066616,2.076332803,0,0,0
0.685704995,5.929595055,1.648005404,8.63866406,1,2,0
2.578038765,5.324361775,7.93875577,2.452240187,2,0,0
2.077003785,1.909317768,6.853066055,4.940902491,2,2,1
1.510846186,3.03939423,1.321764774,0.566545591,2,0,1
9.389817657,4.434204362,8.321771926,6.748355302,2,0,1
,,,,,,
,,,,,,
