assignment,mid term assessment,final assessment,learning adaptability,assign out,midterm outcomes,final outcomes
1.766894027,1.021338016,1.021338016,4.975647658,1,2,2
2.571393632,1.021338016,8.238476796,7.86891132,2,1,1
4.322654821,9.709364078,0.283448356,2.89824323,2,0,2
8.970719966,4.555622923,8.961196436,8.86512538,0,1,1
2.138105193,2.778759331,3.134952618,7.170069427,0,1,2
4.020886663,8.046079749,3.936055981,2.143878739,0,1,0
4.141856147,0.648702485,6.671659743,8.368340951,1,1,0
4.668728108,1.616038336,5.927230696,0.052483458,2,1,1
3.632156273,5.305799932,2.156882043,2.123227456,0,0,1
,,,,,,
,,,,,,
,,,,,,
