assignment,mid term assessment,final assessment,learning adaptability,assign out,midterm outcomes,final outcomes
0.219436764,0.219436764,5.767917746,9.074762945,0,1,0
0.013185349,6.262855365,3.689320782,8.756425367,1,0,2
4.564647436,9.451638504,3.736443801,9.684212259,0,0,2
2.659493556,5.915459678,9.090345631,5.759230803,2,1,1
5.724664542,4.301288841,7.804351195,2.205670668,0,0,2
9.700535601,3.359964519,5.463887348,6.448062137,2,0,1
2.470021207,5.423716963,9.360966455,9.518608117,0,2,1
9.437652344,5.656337502,5.977693785,3.142783908,1,2,2
4.733159211,0.240486197,7.268640921,2.521653069,0,0,1
,,,,,,
,,,,,,
,,,,,,
