assignment,mid term assessment,final assessment,learning adaptability,assign out,midterm outcomes,final outcomes
9.078064304,0.069508039,3.130099878,4.730502449,2,1,0
9.369609553,8.375733907,2.308311152,8.684504385,1,2,2
9.058399742,1.055241896,2.284396823,2.521089677,0,0,1
3.041367234,5.975521252,9.71794778,3.091714248,2,2,1
5.606496929,3.037100494,5.969811256,5.049695422,1,0,0
8.679479269,5.963244674,5.425590835,7.203409317,0,0,1
9.684425784,0.543363035,6.361522882,3.93659615,2,2,2
2.790882945,9.075570735,0.054919671,1.955288002,2,1,2
2.413080351,6.90648067,8.477591871,2.730236537,0,0,1
7.153476836,7.215339774,9.090302688,6.447253119,2,1,1
9.962239054,6.746134084,3.159831172,9.8762929,0,2,2
,,,,,,
,,,,,,
