assignment,mid term assessment,final assessment,learning adaptability,assign out,midterm outcomes,final outcomes
4.293374223,0.727788768,3.090466341,8.474225169,1,1,2
8.748716903,3.618182645,4.231773548,9.268304622,2,0,1
4.063139815,6.353065772,7.981261898,3.458477261,1,0,0
9.509844584,2.786909382,6.685372606,9.780081727,0,0,1
1.888683852,2.66423967,7.098263814,9.145377467,1,0,1
9.429787472,4.218398693,6.249944902,4.824344928,1,0,2
2.615174957,2.896780826,2.336397676,6.033104321,1,0,0
8.124408605,5.852771515,8.356663809,0.086741515,2,2,2
8.407296024,8.081584557,3.739930496,3.32461849,0,0,0
,,,,,,
,,,,,,
,,,,,,
