assignment,mid term assessment,final assessment,learning adaptability,assign out,midterm outcomes,final outcomes
2.379054773,3.821027628,1.275809475,0.05848086,1,2,2
4.190994201,4.158449763,5.584676313,5.319130956,2,0,2
2.266896608,5.817117899,6.506038852,2.942102075,1,1,0
5.394161613,1.894559285,0.123609501,3.364780731,2,1,0
4.639862489,7.117710535,8.206363057,8.590447587,1,0,2
0.528802116,0.65553243,2.350448503,1.577197177,1,0,0
6.575373724,5.088559891,2.877804705,3.952305587,2,1,0
2.427987749,8.786921978,9.269687522,3.222123803,1,1,0
8.037084398,2.476633016,5.809439013,7.604193222,1,2,0
9.840457701,7.333778152,7.076561544,9.503080526,1,2,2
0.874271394,8.032544902,3.146925085,7.34733366,0,2,0
,,,,,,
,,,,,,
