assignment,mid term assessment,final assessment,learning adaptability,assign out,midterm outcomes,final outcomes
2.819728309,6.189262841,1.623698034,4.474746507,2,2,0
3.683570672,3.555762169,8.943593794,1.390427901,0,1,0
9.51271481,1.635261241,1.956882657,2.373076248,0,2,0
1.062512228,2.402564206,7.442344265,8.825171091,1,0,1
6.55525369,4.932090186,0.196169299,1.833142658,2,2,0
6.827331488,2.817783837,0.787864039,4.797871057,2,0,1
7.881036211,1.01743982,4.393303834,8.996008555,2,1,1
3.483125143,7.114735553,0.37981872,9.098659888,2,1,1
2.137759673,5.709925491,5.413626683,3.812659434,2,1,2
3.058051545,4.914663341,9.930196992,6.031860483,2,2,1
2.39068915,1.45083529,7.176962613,9.906180759,1,1,0
,,,,,,
,,,,,,
