assignment,mid term assessment,final assessment,learning adaptability,assign out,midterm outcomes,final outcomes
0.879812915,7.515892546,3.284846316,1.845882125,2,1,1
5.615768655,7.744460646,6.132960145,2.515428968,1,1,0
1.877221521,3.676177696,7.681345642,1.715806999,1,2,2
4.414986675,7.984263709,3.280182843,3.814719289,0,2,0
3.967365374,3.797845469,5.986199659,3.788242798,2,2,1
2.550104468,6.498985348,4.355577999,9.348016469,0,1,1
5.096303135,6.77498284,8.431569352,7.340752773,2,2,0
5.752872044,2.315043398,1.591189564,4.607324387,2,1,1
7.197299093,2.224644019,7.734933841,6.996317196,2,1,1
1.542559069,9.057229947,0.593990285,2.968647443,0,0,1
9.253939223,7.995334594,9.172500111,5.443562815,0,2,2
,,,,,,
,,,,,,
