assignment,mid term assessment,final assessment,learning adaptability,assign out,midterm outcomes,final outcomes
5.827355939,8.133309241,7.431099748,7.28811144,2,2,1
7.121777336,6.23862092,2.911031545,0.74235948,2,0,0
9.918000021,4.131171076,8.770984671,2.75916716,1,2,1
8.719129985,8.763946365,6.103487087,4.375113996,2,0,2
3.368253129,5.274653352,6.942854807,0.133664694,2,0,0
8.729022741,1.425606694,7.153996558,2.921679186,2,1,0
4.850638757,3.650847735,2.545859663,9.295187297,1,1,2
7.95150038,0.224444257,5.159288826,7.270444287,2,2,0
2.646513849,3.595569226,7.890645977,1.835566669,1,1,0
,,,,,,
,,,,,,
,,,,,,
