assignment,mid term assessment,final assessment,learning adaptability,assign out,midterm outcomes,final outcomes
2.770372831,2.207344877,5.875445666,7.345373346,2,2,1
6.58435124,8.453505937,2.717262497,0.562491688,0,0,1
5.788052711,4.004032508,5.826791357,2.425729363,0,2,1
7.343730733,4.908855123,7.428399287,6.987048803,2,1,0
1.819830884,2.914346869,4.34422401,4.945685451,0,1,1
0.393167644,1.107809757,9.418006201,6.320737055,2,1,2
1.121819131,2.070880039,4.627880923,4.302950696,1,2,2
5.021189927,4.338338711,5.258702202,7.893364414,1,2,1
7.359217041,9.338927746,1.656747027,2.141848655,1,2,2
1.856239331,8.868497502,4.005082097,6.069513651,2,0,2
9.345464876,6.98903107,0.569983458,8.528117176,1,0,2
,,,,,,
,,,,,,
