assignment,mid term assessment,final assessment,learning adaptability,assign out,midterm outcomes,final outcomes
7.983693281,6.17633511,5.71765957,5.58916139,1,0,0
5.251575184,5.195894846,0.150624892,6.931342355,1,1,1
3.843907677,1.49039756,2.095112291,9.29919617,1,1,2
4.661941009,3.384766621,8.910224719,6.470659373,2,0,0
9.276148249,8.082808617,2.069439036,0.909530227,1,0,2
1.123484808,3.445822279,2.467821985,0.906057296,1,0,1
9.47772244,6.330652783,5.199904946,7.989705108,2,0,2
4.771086588,2.537957681,5.401632309,4.017912898,1,2,2
7.7595326,7.040765698,6.368985083,8.899703253,1,2,2
5.086500664,6.810921174,1.283962908,4.519907488,2,2,2
2.891850627,3.858111406,5.552352199,4.38080468,2,0,2
,,,,,,
,,,,,,
