assignment,mid term assessment,final assessment,learning adaptability,assign out,midterm outcomes,final outcomes
0.22443695,0.203514632,2.613937762,8.082561887,0,1,0
2.574738531,6.727277915,4.160595014,7.755785267,2,1,1
9.571375491,7.639402633,3.897596162,5.343547321,2,0,2
2.639742365,7.460931162,7.44632683,3.504256442,1,0,1
6.681372187,9.390096307,9.002800479,2.350037621,1,0,1
6.348296042,5.536208363,5.569219231,4.669385129,2,1,0
2.625608617,3.161737809,2.099695912,0.760737675,2,2,1
0.542834901,4.907974056,3.83345603,6.025027299,1,2,0
2.644134365,5.078700954,9.72961705,8.705040734,2,1,2
3.988486459,0.605873477,8.08840622,0.127706527,2,0,0
4.162537343,1.240266083,4.610262611,7.8903343,0,0,2
,,,,,,
,,,,,,
