assignment,mid term assessment,final assessment,learning adaptability,assign out,midterm outcomes,final outcomes
9.418033753,7.668536598,3.544587095,1.764137681,0,2,0
7.156855086,4.547445045,9.405888804,0.638161711,0,2,1
6.341114903,7.784992829,2.17281218,2.265737066,2,0,2
0.027904701,4.994348968,4.730041431,6.823293472,2,0,1
4.106456887,8.95143701,9.963447231,8.330012904,2,2,2
5.523095731,7.558010449,9.590549705,6.255579072,1,0,2
4.954572216,4.087003168,6.193206727,5.21089331,2,0,2
3.806561409,2.424274145,6.354520241,0.228950146,1,0,2
8.543582852,8.936599031,5.364212428,7.837536274,0,1,1
8.02979693,2.589505997,2.130568394,2.470539477,2,2,2
8.954368614,7.045663129,2.837615355,4.44328411,0,2,1
,,,,,,
,,,,,,
