assignment,mid term assessment,final assessment,learning adaptability,assign out,midterm outcomes,final outcomes
5.130529725,8.492044402,0.145726162,7.135537572,0,2,0
9.29955353,4.48922663,0.449585981,1.5383428,1,0,0
5.470196507,3.89843455,5.452711668,8.723747919,1,2,1
3.360073624,9.63567965,3.863770941,3.734603067,2,0,0
3.125254168,8.88078517,6.260222709,9.171246922,2,1,0
6.727067133,9.423226125,0.012333844,3.548112727,1,0,1
7.15472214,5.455395282,7.820505122,0.448234012,1,0,1
1.939024997,1.927923676,2.674022112,3.644756536,2,0,2
9.831805651,6.881848382,6.017283206,5.262615058,0,0,2
,,,,,,
,,,,,,
,,,,,,
