assignment,mid term assessment,final assessment,learning adaptability,assign out,midterm outcomes,final outcomes
0.153755293,8.494721444,1.840959097,2.5549518,1,1,1
3.283820694,3.668399365,4.370291372,0.96364494,2,1,1
3.330195796,5.059514432,5.249398516,2.741736425,1,0,0
4.414043081,1.14759726,7.004253493,4.598713297,1,0,2
1.339372217,8.441001728,0.063310903,1.103970554,2,0,1
1.160864098,2.957882134,2.896237176,0.225067716,2,2,2
2.565122339,3.858950968,5.337255209,4.55289343,2,2,0
0.134982383,7.054908038,9.434016743,3.867240371,1,1,2
5.076009227,4.769469354,8.501309382,9.615577893,0,0,2
,,,,,,
,,,,,,
,,,,,,
