assignment,mid term assessment,final assessment,learning adaptability,assign out,midterm outcomes,final outcomes
4.515903064,1.953914506,6.131115764,0.496992457,0,1,2
1.989078445,1.247569921,6.940385251,3.977455135,1,0,2
2.493181027,4.75427818,7.857927342,5.913768297,1,0,0
2.326513258,8.264313117,4.35709345,6.024251339,2,0,0
0.212315727,4.407035827,1.394218782,2.753274068,0,2,0
5.747641493,7.505320585,0.176466924,7.739180223,1,2,2
5.454572467,8.079168178,5.826084837,1.93918877,1,1,2
5.254265985,5.601308884,7.326624733,8.166715593,1,0,2
5.807711893,9.864113881,2.297416208,3.45909821,2,1,1
2.353336733,8.233731295,4.332151242,8.032063954,1,1,1
9.739150719,7.734860357,2.56562128,5.462777284,0,0,1
,,,,,,
,,,,,,
