assignment,mid term assessment,final assessment,learning adaptability,assign out,midterm outcomes,final outcomes
6.131469846,0.043340931,8.173968445,0.789516151,1,0,0
1.726225768,4.7625944,0.861579269,8.709774323,2,2,2
0.259386009,5.076525051,7.203207243,7.588441722,0,2,1
9.260096959,4.919025845,6.099004674,7.714505548,2,1,0
3.039022978,9.59881528,7.997371239,1.417643487,0,1,2
1.898157142,1.297641949,4.584796316,9.490505117,0,1,1
4.060593255,1.394820929,6.077952182,5.641785499,2,0,2
3.172203905,3.492563015,8.939937872,3.575370914,0,0,0
5.094565954,1.286884654,0.163588525,4.518517183,2,1,2
,,,,,,
,,,,,,
,,,,,,
