assignment,mid term assessment,final assessment,learning adaptability,assign out,midterm outcomes,final outcomes
7.346175576,4.365762126,9.512952766,1.929420692,1,0,2
1.13302587,8.392000435,5.209461763,7.928155622,0,1,2
8.997197467,9.799931061,3.22499468,8.658582524,2,0,0
6.489877368,0.979563794,2.094791852,2.395983836,0,2,0
2.789625425,4.346076501,5.39092821,9.61239606,0,1,0
7.121012143,8.889863586,8.638841612,7.2860653,0,2,0
9.191099418,0.579543952,0.279537315,9.538400678,2,0,0
2.850328016,7.4916083,9.206942679,5.476470984,0,0,2
2.161875298,3.184321773,5.118755713,2.94374275,2,0,2
9.893610454,2.149751318,7.686117092,0.105706834,1,0,1
6.995556411,7.494092684,8.731676689,4.457205238,2,0,0
,,,,,,
,,,,,,
