assignment,mid term assessment,final assessment,learning adaptability,assign out,midterm outcomes,final outcomes
8.450999998,9.454178027,2.482988197,9.242456274,1,2,0
9.565472631,1.219580711,4.921046981,2.133879091,1,0,1
3.703993101,8.644461823,6.31334201,6.152358832,0,0,1
1.729822459,9.975232653,5.442213035,9.850513513,2,0,0
1.486807143,1.673174891,4.448657289,1.218348444,0,2,1
4.015253079,4.825614631,0.105006947,2.118781296,1,0,1
8.899870718,3.326066765,0.080573824,6.585041532,0,2,1
5.671561497,4.709112283,3.968122415,8.766839799,1,2,0
5.091382515,5.807900522,2.351698308,6.756936485,0,2,0
3.959554689,1.209963414,4.160057328,8.406576489,1,2,0
5.68166153,7.843107035,0.356831913,6.259416426,2,1,0
,,,,,,
,,,,,,
