assignment,mid term assessment,final assessment,learning adaptability,assign out,midterm outcomes,final outcomes
8.458397247,6.571862738,0.424906454,8.664828797,2,2,0
9.696015953,0.326707306,3.156248997,8.000515932,1,0,1
1.828431959,2.012628604,2.308891659,0.800435948,2,1,2
8.169981984,6.292740643,9.054343735,6.372154224,0,2,1
6.587892128,5.302295269,6.827721167,8.126688894,2,1,1
4.972132339,8.106543618,1.986580993,0.691155978,0,0,2
7.634217616,2.347232711,0.116982208,9.549756583,0,2,2
7.76431622,0.534598812,7.014163097,6.20210504,1,0,0
9.873860494,8.501398602,1.724065677,3.222654413,2,2,0
,,,,,,
,,,,,,
,,,,,,
