assignment,mid term assessment,final assessment,learning adaptability,assign out,midterm outcomes,final outcomes
1.599675324,3.576602347,5.458514214,4.272595616,2,2,1
8.380316272,9.048538242,5.128887391,2.850161232,1,2,0
0.194857494,7.805673757,4.677774396,1.075972395,2,0,1
8.259799875,7.565411452,7.783467973,6.904108723,1,0,0
4.92689924,8.269359742,5.22630407,8.362434474,0,2,1
2.137008407,5.157415007,7.075986441,5.232725434,1,2,2
5.308860048,7.006740239,9.256488797,4.782864991,2,1,0
3.071977603,0.699905148,6.039993376,4.767381209,2,0,0
5.214170198,2.195741322,4.11160858,7.655054047,0,1,0
1.099133746,8.333534167,6.598091859,9.472144428,2,1,2
6.019609133,1.916026219,4.989590026,3.100586592,1,2,1
